,Name,Value
280,Christian Eriksen,€3.9M
281,Ryan Manning,€3.8M
282,Conor Coady,€2.3M
283,Wes Burns,€2.1M
284,Jannik Vestergaard,€2M
285,Luke Woolfenden,€2M
286,Cameron Burgess,€1.7M
287,Craig Dawson,€1.5M
288,Adam Smith,€1.5M
289,Jack Stephens,€1.4M
290,Ashley Young,€1.3M
291,Sam Morsy,€1.3M
292,Jamie Vardy,€1.2M
293,Łukasz Fabiański,€0.9M
